n_estimators,criterion,max_features,train_time,inference_time,score,accuracy,f1,recall,precision
33,gini,sqrt,1.9371533393859863,0.02293848991394043,0.16101694915254236,0.9514946418499718,0.7509538618337667,0.6944124827406799,0.8721225294928757
33,gini,log2,1.498976230621338,0.02599477767944336,0.09564164648910412,0.9469825155104343,0.7190079579174534,0.6651841994677126,0.849444385649275
33,entropy,sqrt,2.1154723167419434,0.021986961364746094,0.2179176755447942,0.9481105470953187,0.7219904282734078,0.665789526344226,0.8635366388767003
33,entropy,log2,1.6731257438659668,0.023967504501342773,-0.08958837772397095,0.9435984207557812,0.7010722956568654,0.6518795149380665,0.8212985501111228
34,gini,sqrt,2.093449831008911,0.021941661834716797,0.15738498789346247,0.9481105470953187,0.7249865120043162,0.6696190943109279,0.8588263308286591
34,gini,log2,1.5972771644592285,0.02697300910949707,0.09927360774818401,0.9503666102650874,0.745162091178738,0.6899775878974647,0.863633752106634
34,entropy,sqrt,2.387192964553833,0.022939682006835938,0.39891041162227603,0.9475465313028765,0.7077954183376367,0.6501685910391611,0.8778542836283074
34,entropy,log2,1.8020708560943604,0.024024486541748047,0.3389830508474576,0.9481105470953187,0.7157861722888208,0.6581303904108219,0.8741772811212651
35,gini,sqrt,2.2127764225006104,0.03045344352722168,0.036924939467312345,0.9486745628877609,0.7350972392109216,0.6814104616492906,0.8528166958552248
35,gini,log2,1.6990442276000977,0.029964208602905273,0.038135593220338986,0.9498025944726453,0.7435983679677103,0.689674924459208,0.8574074772345921
35,entropy,sqrt,2.4087488651275635,0.023980379104614258,0.524818401937046,0.952058657642414,0.7388693957115009,0.6755673063454265,0.9073650609402205
35,entropy,log2,1.8500127792358398,0.0219879150390625,0.21368038740920098,0.9441624365482234,0.6889435098432907,0.6368639065095152,0.8443770297827345
36,gini,sqrt,2.2740349769592285,0.027959823608398438,0.2820823244552058,0.9514946418499718,0.745659745389522,0.686753346807276,0.8816556250766776
36,gini,log2,1.7471578121185303,0.03000473976135254,0.09261501210653753,0.9441624365482234,0.6958596491228071,0.6445230424429191,0.8353337202553686
36,entropy,sqrt,2.497307777404785,0.021984577178955078,0.22094430992736078,0.9509306260575296,0.7440637273039508,0.6864506833690193,0.874685834925103
36,entropy,log2,1.972566843032837,0.027994394302368164,0.27602905569007263,0.9458544839255499,0.7000761228114691,0.6454310327576891,0.8583553166835137
37,gini,sqrt,2.3408730030059814,0.02900981903076172,0.16041162227602906,0.9509306260575296,0.7467413166082437,0.6902802513357212,0.870067133683596
37,gini,log2,1.8315849304199219,0.05038022994995117,-0.0841404358353511,0.9486745628877609,0.7405164164461993,0.6890695975826946,0.845537412229374
37,entropy,sqrt,2.545292615890503,0.025014638900756836,0.0986682808716707,0.9498025944726453,0.7409192779095828,0.685845356492506,0.8614419147694103
37,entropy,log2,1.9410123825073242,0.023936748504638672,0.4001210653753027,0.9486745628877609,0.7172957335823785,0.6584330538490785,0.882481884057971
38,gini,sqrt,2.29463791847229,0.025002479553222656,0.22094430992736078,0.9509306260575296,0.7440637273039508,0.6864506833690193,0.874685834925103
38,gini,log2,1.802731990814209,0.02900385856628418,0.15254237288135594,0.9435984207557812,0.6875792945952803,0.6365612430712585,0.8364993466630508
38,entropy,sqrt,2.3980863094329834,0.02447342872619629,0.15556900726392253,0.9464184997179921,0.7113511068001762,0.6572224000960518,0.8511766414875073
38,entropy,log2,1.9340713024139404,0.02398085594177246,0.21246973365617433,0.943034404963339,0.6790029845930468,0.6285994436995979,0.8378989431621011
39,gini,sqrt,2.4050309658050537,0.027016639709472656,0.2796610169491525,0.949238578680203,0.7280341146152902,0.6702244211874412,0.8732612988152699
39,gini,log2,1.7571396827697754,0.02799367904663086,-0.20641646489104115,0.9475465313028765,0.7374934926201935,0.6884642707061813,0.8343851520477179
39,entropy,sqrt,2.5612881183624268,0.0290524959564209,0.09624697336561744,0.9475465313028765,0.7234858203661501,0.6693164308726712,0.8519947582993593
39,entropy,log2,1.9955065250396729,0.026999711990356445,0.3365617433414044,0.9458544839255499,0.6966421900620232,0.6416014647909871,0.8640046296296297
40,gini,sqrt,2.4919075965881348,0.028998613357543945,0.28026634382566584,0.9498025944726453,0.7325134551002246,0.6743566525923999,0.8754605390731045
40,gini,log2,1.7717034816741943,0.031914710998535156,0.1549636803874092,0.9458544839255499,0.7067037950951875,0.6530901686910932,0.8484491357518618
40,entropy,sqrt,2.6266415119171143,0.025997400283813477,0.40314769975786924,0.9514946418499718,0.7401214872990551,0.6790942108738719,0.892710618692409
40,entropy,log2,2.0134544372558594,0.025930166244506836,0.4013317191283293,0.9498025944726453,0.7265808966861598,0.6666975166589959,0.8867846778874057
41,gini,sqrt,2.6050832271575928,0.029920101165771484,0.09987893462469734,0.9509306260575296,0.7493602023954022,0.6941098193024233,0.8657642201315963
41,gini,log2,1.9545624256134033,0.03352999687194824,-0.14709443099273609,0.9464184997179921,0.7263128646846346,0.6763702399295619,0.8323372485435795
41,entropy,sqrt,2.8433446884155273,0.031019926071166992,0.22276029055690072,0.9526226734348562,0.7567456324887953,0.6988473775838953,0.8806113068791175
41,entropy,log2,2.16398286819458,0.029991865158081055,0.45883777239709445,0.9469825155104343,0.6995175318400138,0.6422067916675004,0.8821212528565667
42,gini,sqrt,2.5564420223236084,0.03502607345581055,0.2820823244552058,0.9514946418499718,0.745659745389522,0.686753346807276,0.8816556250766776
42,gini,log2,2.0370490550994873,0.030962228775024414,0.036924939467312345,0.9486745628877609,0.7350972392109216,0.6814104616492906,0.8528166958552248
42,entropy,sqrt,2.935981273651123,0.029992103576660156,0.03450363196125908,0.9464184997179921,0.7175392788686478,0.6648815360294559,0.8427749812796406
42,entropy,log2,2.2284440994262695,0.028993844985961914,0.15254237288135594,0.9435984207557812,0.6875792945952803,0.6365612430712585,0.8364993466630508
43,gini,sqrt,2.699065923690796,0.036515235900878906,0.16041162227602906,0.9509306260575296,0.7467413166082437,0.6902802513357212,0.870067133683596
43,gini,log2,2.0554120540618896,0.03191351890563965,0.09685230024213075,0.9481105470953187,0.7279150764632096,0.6734486622776299,0.8544657097288677
43,entropy,sqrt,2.9425790309906006,0.029057741165161133,0.03631961259079903,0.9481105470953187,0.7307783719548426,0.6772782302443319,0.8504192789193679
